
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 30 | train_loss: 0.4162:  60%|██████    | 30/50 [01:36<00:56,  2.81s/it]
Epoch 30 | train_loss: 0.4162:  62%|██████▏   | 31/50 [01:36<00:53,  2.83s/it]
Epoch 31 | train_loss: 0.3347:  62%|██████▏   | 31/50 [01:39<00:53,  2.83s/it]
Epoch 31 | train_loss: 0.3347:  64%|██████▍   | 32/50 [01:39<00:51,  2.84s/it]
Epoch 32 | train_loss: 0.3952:  64%|██████▍   | 32/50 [01:42<00:51,  2.84s/it]
Epoch 32 | train_loss: 0.3952:  66%|██████▌   | 33/50 [01:42<00:48,  2.83s/it]
Epoch 33 | train_loss: 0.3053:  66%|██████▌   | 33/50 [01:45<00:48,  2.83s/it]
Epoch 33 | train_loss: 0.3053:  68%|██████▊   | 34/50 [01:45<00:45,  2.83s/it]
Epoch 34 | train_loss: 0.2725:  68%|██████▊   | 34/50 [01:48<00:45,  2.83s/it]
Epoch 34 | train_loss: 0.2725:  70%|███████   | 35/50 [01:48<00:42,  2.85s/it]
Epoch 35 | train_loss: 0.3690:  70%|███████   | 35/50 [01:51<00:42,  2.85s/it]
Epoch 35 | train_loss: 0.3690:  72%|███████▏  | 36/50 [01:51<00:39,  2.86s/it]
Epoch 36 | train_loss: 0.2915:  72%|███████▏  | 36/50 [01:53<00:39,  2.86s/it]
Epoch 36 | train_loss: 0.2915:  74%|███████▍  | 37/50 [01:53<00:36,  2.82s/it]
Epoch 37 | train_loss: 0.3552:  74%|███████▍  | 37/50 [01:56<00:36,  2.82s/it]
Epoch 37 | train_loss: 0.3552:  76%|███████▌  | 38/50 [01:56<00:34,  2.84s/it]
Epoch 38 | train_loss: 0.2565:  76%|███████▌  | 38/50 [01:59<00:34,  2.84s/it]
Epoch 38 | train_loss: 0.2565:  78%|███████▊  | 39/50 [01:59<00:31,  2.84s/it]
Epoch 39 | train_loss: 0.3404:  78%|███████▊  | 39/50 [02:02<00:31,  2.84s/it]
Epoch 39 | train_loss: 0.3404:  80%|████████  | 40/50 [02:02<00:28,  2.85s/it]
Epoch 40 | train_loss: 0.2926:  80%|████████  | 40/50 [02:10<00:28,  2.85s/it]
Epoch 40 | train_loss: 0.2926:  82%|████████▏ | 41/50 [02:10<00:39,  4.37s/it]
Epoch 41 | train_loss: 0.3315:  82%|████████▏ | 41/50 [02:16<00:39,  4.37s/it]
Epoch 41 | train_loss: 0.3315:  84%|████████▍ | 42/50 [02:16<00:38,  4.83s/it]
Epoch 42 | train_loss: 0.2784:  84%|████████▍ | 42/50 [02:19<00:38,  4.83s/it]
Epoch 42 | train_loss: 0.2784:  86%|████████▌ | 43/50 [02:19<00:29,  4.22s/it]
Epoch 43 | train_loss: 0.3985:  86%|████████▌ | 43/50 [02:21<00:29,  4.22s/it]
Epoch 43 | train_loss: 0.3985:  88%|████████▊ | 44/50 [02:21<00:22,  3.77s/it]
Epoch 44 | train_loss: 0.3735:  88%|████████▊ | 44/50 [02:24<00:22,  3.77s/it]
Epoch 44 | train_loss: 0.3735:  90%|█████████ | 45/50 [02:24<00:17,  3.44s/it]
Epoch 45 | train_loss: 0.2566:  90%|█████████ | 45/50 [02:27<00:17,  3.44s/it]
Epoch 45 | train_loss: 0.2566:  92%|█████████▏| 46/50 [02:27<00:13,  3.26s/it]
Epoch 46 | train_loss: 0.3095:  92%|█████████▏| 46/50 [02:30<00:13,  3.26s/it]
Epoch 46 | train_loss: 0.3095:  94%|█████████▍| 47/50 [02:30<00:09,  3.12s/it]
Epoch 47 | train_loss: 0.2370:  94%|█████████▍| 47/50 [02:32<00:09,  3.12s/it]
Epoch 47 | train_loss: 0.2370:  96%|█████████▌| 48/50 [02:32<00:06,  3.03s/it]
Epoch 48 | train_loss: 0.3427:  96%|█████████▌| 48/50 [02:35<00:06,  3.03s/it]
Epoch 48 | train_loss: 0.3427:  98%|█████████▊| 49/50 [02:35<00:02,  2.97s/it]
Epoch 49 | train_loss: 0.3454:  98%|█████████▊| 49/50 [02:38<00:02,  2.97s/it]
Epoch 49 | train_loss: 0.3454: 100%|██████████| 50/50 [02:38<00:00,  2.93s/it]
Epoch 49 | train_loss: 0.3454: 100%|██████████| 50/50 [02:38<00:00,  3.17s/it]
